central_bank_code,target_family,target_indicator_key,target_indicator,model,feature,importance
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,part_time_employment_change_ma3,0.0037619476578943816
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,new_motor_vehicle_sales_lag3,0.003554287587294662
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,manufacturing_pmi_ma3,0.003550292843527856
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,ivey_pmi_sa_ma3,0.003382028499160304
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,manufacturing_sales_mom_lag1_x_manufacturing_sales_mom_lag3,0.003362227793062713
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,services_pmi_lag3,0.003137854503171736
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,services_pmi_ma3,0.0022124562791816975
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,budget_balance_lag3,0.0018341561857869134
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,employment_change_lag3,0.0016777615402979575
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,cfib_business_barometer_lag3,0.0015426852117808578
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,cfib_business_barometer_ma3,0.0009929212945328002
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,part_time_employment_change_lag6,0.0004619501267275862
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,ivey_pmi_sa_ma6,0.00040814291535606537
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,wholesale_sales_mom_lag3,0.00022116445012899396
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,manufacturing_sales_mom_lag3,0.00018831212837020262
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,raw_materials_prices_mom_lag6,4.392991390647625e-05
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,services_pmi_lag6,0.0
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,budget_balance_ma6,0.3467048120820146
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,target_current,0.15512901744172458
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,part_time_employment_change_ma6,0.052104622147322664
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,employment_change_ma3,0.05010412578493894
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,manufacturing_sales_mom_ma6,0.037549217549384006
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,part_time_employment_change_ma3,0.03400234779034777
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,budget_balance_ma3,0.03367686016677484
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,retail_sales_yoy_lag1,0.0322448006335591
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,manufacturing_sales_mom_ma3,0.031148253322398255
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,retail_sales_yoy_ma3,0.024451383465711008
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,raw_materials_prices_mom_ma3,0.019531315864402748
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,target_ma3,0.01763152692947875
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,wholesale_sales_mom_ma6,0.01569765138032742
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,ivey_pmi_sa_lag1,0.01401080207517696
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,ivey_pmi_sa_ma6,0.009990934521760832
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,employment_change_lag1,0.009420382009564085
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,ivey_pmi_sa_ma3,0.00936024113896387
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,employment_change_ma6,0.007794544192930802
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,raw_materials_prices_mom_lag1,0.0077653761920410585
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,wholesale_sales_mom_lag1,0.006984062833727254
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,cpi_headline_mom_ma3,0.006773090325547425
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,budget_balance_lag1,0.005915961072490687
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,new_motor_vehicle_sales_ma6,0.005211311813270971
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,target_lag1,0.005173439657774752
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,manufacturing_sales_mom_lag1,0.005011914473820203
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,retail_sales_yoy_lag6,0.00452705605998274
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,retail_sales_ex_autos_mom_lag1,0.004162193533643563
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,cpi_headline_mom_ma6,0.0040412171786151935
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,raw_materials_prices_mom_ma6,0.003326703259471402
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,part_time_employment_change_lag3,0.0029779471273631295
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,ivey_pmi_sa_lag6,0.0026169730423665715
