central_bank_code,currency,indicator_key,indicator,shock,baseline_pearson_ic,scenario_pearson_ic,pearson_ic_delta,baseline_hit_rate,scenario_hit_rate,hit_rate_delta,sensitivity_magnitude
RBNZ,NZD,labour_cost_index_yoy,Labour Cost Index (YoY),minus_20pct,-0.09690036707060748,-0.09556263425169877,0.0013377328189087129,0.5540540540540541,0.5675675675675675,0.013513513513513487,0.0148512463324222
BOE,GBP,ppi_core_output_yoy,PPI Core Output (YoY),plus_20pct,-0.10984412989764278,-0.11120518867395264,-0.001361058776309862,0.4533333333333333,0.44,-0.013333333333333308,0.01469439210964317
BOE,GBP,avg_earnings_incl_bonus,Average Earnings (incl. Bonus),minus_20pct,-0.10984412989764278,-0.10849496965552463,0.001349160242118147,0.4533333333333333,0.44,-0.013333333333333308,0.014682493575451455
BOC,CAD,cpi_headline_mom,Headline CPI (MoM),plus_20pct,-0.15295433463870756,-0.15163377227937372,0.0013205623593338378,0.5066666666666667,0.52,0.013333333333333308,0.014653895692667146
BOC,CAD,raw_materials_prices_yoy,Raw Materials Prices (YoY),minus_20pct,-0.15295433463870756,-0.15400020406939824,-0.0010458694306906824,0.5066666666666667,0.52,0.013333333333333308,0.01437920276402399
ECB,EUR,core_cpi_yoy,Core HICP (YoY),minus_20pct,-0.005819286849960415,-0.006728673858751539,-0.0009093870087911234,0.52,0.5333333333333333,0.013333333333333308,0.014242720342124432
BOE,GBP,retail_price_index_yoy,Retail Price Index (YoY),plus_20pct,-0.10984412989764278,-0.10907167269697954,0.0007724572006632402,0.4533333333333333,0.44,-0.013333333333333308,0.014105790533996548
BOE,GBP,ppi_input_yoy,PPI Input (YoY),plus_20pct,-0.10984412989764278,-0.11059392475335522,-0.0007497948557124434,0.4533333333333333,0.44,-0.013333333333333308,0.014083128189045752
BOE,GBP,ppi_output_yoy,PPI Output (YoY),plus_20pct,-0.10984412989764278,-0.11051805276880114,-0.0006739228711583611,0.4533333333333333,0.44,-0.013333333333333308,0.01400725620449167
BOE,GBP,cpi_headline_yoy,Headline CPI (YoY),plus_20pct,-0.10984412989764278,-0.10928442350934722,0.0005597063882955555,0.4533333333333333,0.44,-0.013333333333333308,0.013893039721628864
SNB,CHF,producer_import_prices_mom,Producer & Import Prices (MoM),plus_20pct,-0.05399171631330828,-0.05435524353646503,-0.0003635272231567524,0.44594594594594594,0.4594594594594595,0.013513513513513542,0.013877040736670294
RBA,AUD,manufacturing_pmi,Manufacturing PMI,minus_20pct,-0.1383878319758714,-0.1378807246830595,0.0005071072928118925,0.4666666666666667,0.4533333333333333,-0.013333333333333364,0.013840440626145256
SNB,CHF,balance_of_trade,Balance of Trade,minus_20pct,-0.05399171631330828,-0.05366642569884638,0.00032529061446189694,0.44594594594594594,0.4594594594594595,0.013513513513513542,0.013838804127975439
SNB,CHF,economic_sentiment_index,Economic Sentiment Index,plus_20pct,-0.05399171631330828,-0.05366664689220939,0.00032506942109888914,0.44594594594594594,0.43243243243243246,-0.013513513513513487,0.013838582934612376
RBA,AUD,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),plus_20pct,-0.1383878319758714,-0.13885856233585955,-0.00047073035998815294,0.4666666666666667,0.48,0.013333333333333308,0.013804063693321461
RBA,AUD,manufacturing_pmi,Manufacturing PMI,plus_20pct,-0.1383878319758714,-0.13885531064509024,-0.0004674786692188404,0.4666666666666667,0.4533333333333333,-0.013333333333333364,0.013800812002552204
BOC,CAD,ppi_yoy,PPI (YoY),plus_20pct,-0.15295433463870756,-0.15252695573562497,0.00042737890308258697,0.5066666666666667,0.52,0.013333333333333308,0.013760712236415895
SNB,CHF,balance_of_trade,Balance of Trade,plus_20pct,-0.05399171631330828,-0.05418798073600055,-0.00019626442269227162,0.44594594594594594,0.43243243243243246,-0.013513513513513487,0.013709777936205758
ECB,EUR,cpi_headline_mom,Headline HICP (MoM),minus_20pct,-0.005819286849960415,-0.005679296950829172,0.0001399898991312435,0.52,0.5333333333333333,0.013333333333333308,0.013473323232464552
RBA,AUD,commodity_prices_yoy,Commodity Prices (YoY),minus_20pct,-0.1383878319758714,-0.1382774519066617,0.00011038006920968679,0.4666666666666667,0.48,0.013333333333333308,0.013443713402542995
RBA,AUD,consumer_inflation_expectation,Consumer Inflation Expectation,plus_20pct,-0.1383878319758714,-0.13835622899636799,3.160297950341451e-05,0.4666666666666667,0.4533333333333333,-0.013333333333333364,0.013364936312836778
ECB,EUR,cpi_headline_yoy,Headline HICP (YoY),minus_20pct,-0.005819286849960415,0.001449774600957111,0.007269061450917526,0.52,0.52,0.0,0.007269061450917526
ECB,EUR,economic_sentiment,Economic Sentiment,minus_20pct,-0.005819286849960415,-0.000615456373442385,0.00520383047651803,0.52,0.52,0.0,0.00520383047651803
ECB,EUR,economic_sentiment,Economic Sentiment,plus_20pct,-0.005819286849960415,-0.010988001060888843,-0.005168714210928428,0.52,0.52,0.0,0.005168714210928428
RBNZ,NZD,cpi_headline_qoq,Headline CPI (QoQ),minus_20pct,-0.09690036707060748,-0.09243115489040486,0.004469212180202617,0.5540540540540541,0.5540540540540541,0.0,0.004469212180202617
