central_bank_code,country,indicator_key,indicator,primary_category,frequency,importance,observations,mean,median,std,min,max,skew,first_date,last_date,outlier_iqr_count,range
BOE,UK,core_rpi_yoy,Core RPI (YoY),Inflation,monthly,3,24,3.4875000000000003,3.6,0.7853620045946132,1.9,4.7,-0.49339271226109277,2024-01-01,2026-03-01,0,2.8000000000000003
BOE,UK,cpi_headline_mom,Headline CPI (MoM),Inflation,monthly,2,68,0.3852941176470588,0.4,0.5289428222583352,-0.6,2.5,1.1310999491395517,2020-01-01,2026-03-01,1,3.1
BOE,UK,cpi_headline_yoy,Headline CPI (YoY),Inflation,monthly,1,76,4.2105263157894735,3.25,3.1867048371787186,0.2,11.1,0.835017032657847,2019-12-01,2026-03-01,0,10.9
BOE,UK,ppi_core_output_mom,PPI Core Output (MoM),Inflation,monthly,3,55,0.34181818181818185,0.2,0.4810062404657588,-0.8,2.0,1.1665491105945094,2019-12-01,2026-03-01,1,2.8
BOE,UK,ppi_core_output_yoy,PPI Core Output (YoY),Inflation,monthly,3,67,4.201492537313433,1.9,4.669355043949712,-0.4,15.2,1.1669493298979399,2019-12-01,2026-03-01,0,15.6
BOE,UK,ppi_input_mom,PPI Input (MoM),Inflation,monthly,3,66,0.2545454545454546,0.25,1.411620107773805,-5.1,5.2,-0.07818202910371655,2019-12-01,2026-03-01,3,10.3
BOE,UK,ppi_input_yoy,PPI Input (YoY),Inflation,monthly,3,68,4.242647058823529,0.5,8.6950202968783,-10.0,24.0,0.7258263532204405,2019-12-01,2026-03-01,0,34.0
BOE,UK,ppi_output_mom,PPI Output (MoM),Inflation,monthly,3,58,0.3017241379310345,0.3,0.634806609399243,-0.8,2.3,0.9969882442853064,2020-01-01,2026-03-01,0,3.0999999999999996
BOE,UK,ppi_output_yoy,PPI Output (YoY),Inflation,monthly,3,68,4.054411764705883,1.5499999999999998,5.59971837840721,-1.4,17.1,1.097396243921728,2019-12-01,2026-03-01,0,18.5
BOE,UK,retail_price_index_mom,Retail Price Index (MoM),Inflation,monthly,3,72,0.4833333333333333,0.5,0.6337902972159406,-0.6,3.4,1.7111086681071317,2019-12-01,2026-03-01,2,4.0
